,3-13,3-14,3-15,3-16,3-17,3-18,3-19,3-20,3-21,3-22,3-23
Barnstable,0,1,1,1,2,2,5,9,11,24,30
Berkshire,9,9,9,11,14,17,18,20,21,23,26
Bristol,0,1,1,2,5,5,6,6,14,24,25
Dukes,0,0,0,0,0,0,0,0,1,1,1
Essex,2,5,6,8,8,14,19,29,41,60,73
Franklin,0,0,0,0,0,1,1,1,2,2,2
Hampden,0,0,1,1,1,2,3,3,9,12,15
Hampshire,0,0,0,0,0,0,1,2,2,4,6
Middlesex,60,65,75,83,89,100,119,144,177,199,232
Norfolk,24,28,31,36,43,45,52,64,69,75,82
Plymouth,0,0,1,3,5,5,5,11,20,25,32
Suffolk,26,27,31,36,42,51,72,86,108,126,154
Worcester,2,2,6,6,8,10,14,19,24,37,42
Unknown,0,0,2,10,1,4,13,19,26,34,57
