,Barnstable,Berkshire,Bristol,Dukes,Essex,Franklin,Hampden,Hampshire,Middlesex,Norfolk,Plymouth,Suffolk,Worcester,Unknown,Total,deaths,gender_Female,gender_Male,hosp_Patientwashospitalized,hosp_Patientwasnothospitalized,hosp_UnderInvestigation,exp_Biogenemployeescontacts,exp_Travelrelated,exp_BerkshireMedicalCentercontacts,exp_Underinvestigation,exp_Biogencontacts,exp_WesternMAcluster,exp_Biogenandhouseholdcontacts,exp_Localtransmission,exp_Biogenconferenceattendeesandhouseholdcontacts,exp_Biogen_Total,test_MAStateLab_positive,test_MAStateLab_total,test_LabCorp_positive,test_LabCorp_total,test_QuestDiagnostics_positive,test_QuestDiagnostics_total,test_Otherlaboratories_positive,test_Otherlaboratories_total,age_lessthan19,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_gtthan70
3-13,0,9,0,0,2,0,0,0,60,24,0,26,2,0,123,0,54,69,10,101,12,94,5,8,16,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-14,1,9,1,0,5,0,0,0,65,28,0,27,2,0,138,0,64,74,11,105,22,0,5,0,21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-15,1,9,1,0,6,0,1,0,75,31,1,31,6,2,164,0,74,90,13,115,36,0,13,0,35,108,8,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-16,1,11,2,0,8,0,1,0,83,36,3,36,6,10,197,0,93,104,14,123,60,0,18,0,51,0,0,100,28,0,100,181,1092,1,48,7,156,0,0,0,0,0,0,0,0,0
3-17,2,14,5,0,8,0,1,0,89,43,5,42,8,1,218,0,102,116,21,145,52,0,24,0,59,0,0,102,33,0,102,197,1367,1,164,12,220,0,0,0,0,0,0,0,0,0
3-18,2,17,5,0,14,1,2,0,100,45,5,51,10,4,256,0,119,137,27,151,78,0,26,0,95,0,0,0,38,97,97,224,1743,11,306,12,222,9,Notavailable,0,0,0,0,0,0,0
3-19,5,18,6,0,19,1,3,1,119,52,5,72,14,13,328,0,159,169,43,160,125,0,34,0,151,0,0,0,46,97,97,261,2208,29,699,12,225,26,Notavailable,0,0,0,0,0,0,0
3-20,9,20,6,0,29,1,3,2,144,64,11,86,19,19,413,1,195,218,58,199,156,0,49,0,204,0,0,0,63,97,97,296,2666,44,940,32,485,41,Notavailable,0,0,0,0,0,0,0
3-21,11,21,14,1,41,2,9,2,177,69,20,108,24,26,525,1,249,275,61,215,249,0,53,0,306,0,0,0,69,97,97,328,3031,72,1433,55,743,70,Notavailable,0,0,0,0,0,0,0
3-22,24,23,24,1,60,2,12,4,199,75,25,126,37,34,646,5,308,338,71,263,312,0,68,0,396,0,0,0,83,99,99,362,3403,103,1651,80,950,101,Notyetavailable,18,93,112,134,119,87,83
